source	t0	t1	t2	t3	t4	t5
23353	0.2007300024	0.2192926593	0.0883716691	0.0911167561	0.1210302346	0.104011608
23355	0.125977009	0.030314921	0.0345942364	0.0594468008	0.0647995406	0.0776533902
23357	0.0743198778	0.0956030705	0.049361457	0.0463003169	0.0503790613	0.0465436135
23358	0.3412039333	0.297009293	0.2031612659	0.1502171317	0.1937349574	0.1723176651
23360	0.6342000987	0.5197220539	0.2611734751	0.2210316615	0.329535773	0.2445822322
23361	0.0572653672	0.1286810292	0.0860268584	0.0217121055	0.0080903198	0.0055041751
23367	2.4979937742	6.3537598314	4.1426249596	2.3472122704	2.8224189663	3.0727338579
23368	0.1108919036	0.0617898744	0.045528889	0.0419283843	0.0363593653	0.0468082178
23369	0.4577260484	0.2214396065	0.1623825322	0.1618782928	0.1515219447	0.1513913321
23370	0.9978340495	0.1180055704	0.1378566669	0.133692358	0.1211598257	0.0995136355
23373	0.6544216735	0.1672930784	0.0927097707	0.0657268939	0.097577538	0.077680296
23376	0.3209575904	0.1788568337	0.2481533611	0.3620919093	0.3319071983	0.2585119283
23378	0.9389248394	2.3920059505	2.020055795	1.7095066416	1.3880994167	1.4458366265
23379	0.2133420359	0.3762450456	0.2406578736	0.1680297478	0.1620631659	0.187373377
23380	0.0460864367	0.0133608765	0.0340318037	0.0875208464	0.1175014227	0.1452953153
23381	0.08619475	0.2135053257	0.2081189294	0.1138515274	0.1121711934	0.1593978581
23382	0.1167254908	0.0140509165	0.038590253	0.0999073505	0.1265462658	0.1295375578
23383	0.7828449759	0.3178613908	0.2716770062	0.2436077737	0.3286262103	0.3622782086
23384	0.0819880992	0.0641240508	0.0369690635	0.0270269149	0.0424635253	0.0349375856
23385	1.1307899935	0.8015414426	0.6797730172	0.7299379145	0.9271576712	0.916064737
23386	0.1168421035	0.0922956968	0.1017465235	0.0731704107	0.094279488	0.0918132328
23387	0.1539929794	0.0990582487	0.0705497657	0.036387915	0.0363170635	0.0685114167
23389	0.3445025694	0.2744513811	0.1810962669	0.135930799	0.1573718695	0.1049833086
23390	0.1025053457	0.0894748455	0.0370011536	0.0334604575	0.0285207765	0.026065187
23392	0.0405908111	0.1389385653	0.0911628462	0.0577071468	0.0713377721	0.0669828041
23394	0.5883961596	0.426376019	0.4253984831	0.3311749122	0.3008727696	0.324474416
23395	0.0506552033	0.1675292949	0.2945321472	0.2223782438	0.1684617932	0.2670190477
23396	0.081153793	0.0353006971	0.0258090697	0.0163345971	0.0210997196	0.028504896
23398	0.723013721	0.3723569267	0.5736051055	0.4332606037	0.40853863	0.3835143236
23399	0.9299033095	0.854397143	1.16917249	0.9164678214	0.9595091858	1.132272623
