source	COPEB	ELK1	GATA3	IRF4	JUN	MAF	MYB	NFATC3	NFKB1	RELA	STAT3	USF2
SATB1	-0.041964636204441	-0.489375835314605	0.076833875719041	-0.014103215464486	-0.511080812163528	0.756475644080532	-0.026397625726379	0.089972779621486	2	0.009213072257026	-0.931375942266411	-0.031911064686765
SBF1	0.01080426935606	0.484908617079203	0.081960915769429	0.006289178428766	-0.993674759503855	-0.010486651055301	0.036414601549026	0.054985887363586	-0.656938715503868	0.03065389084709	-0.975205531677717	0.00607077467407
SC4MOL	-0.00577523782696	0.077396272365863	0.012793654210113	-0.027146618717003	0.239433076314971	0.275009047195974	-0.013636723040777	0.022105237713174	-0.318636232340632	-0.032801221328373	0.116570265742593	-0.02386443933702
SC5DL	0.019418933043365	-0.176191753627994	0.009015274755587	-0.021377708847466	-0.235633631978171	-0.226802202052903	-0.046183170349577	-0.347068028579112	0.106468375385226	0.025508640922678	-0.014650002082964	0.010740441034207
ATXN1	0.018965320692642	-0.644558539935511	0.170736244690957	0.028619029674208	-0.609264132535872	-0.628071200016225	0.033439823992603	-0.582257624985032	0.283768714709715	0.010102287872313	-0.036238730161525	-0.00202147186586
ATXN2	0.000379406877278	-0.994837684224276	0.047590885106787	0.010910325532481	-0.409445315411698	0.663190631427637	0.015732439367287	-0.141713488096725	-0.993074553593979	0.002969850036638	-0.992903264783784	-0.00746640052529
ATXN7	-0.004976842552909	-0.342952187776182	0.264359122187907	0.008993991377484	-0.236247003972647	-0.353804169473313	-0.088717363879509	-0.183986860953962	0.199495093596582	0.03806798932874	-0.265801868210421	-0.020486863192098
SCD	0.012753486313244	0.507680271519895	-0.020918267734007	-0.024170615785382	0.926772569808782	0.91506057603048	0.091361273029416	0.390340175126104	-0.373810168908087	-0.038026165557304	0.122963259556674	0.005655296121453
CLEC11A	0.000985916789566	-0.213890829735982	0.013156616492279	-0.002672592307947	-0.317623543865312	-0.396699561155861	-0.032450266167284	-0.218789590873349	-0.071604306573252	0.01486009040978	-0.0054522809986	0.008099925091949
SCML1	0.049451798562834	-0.865700485827237	0.05315780063074	0.014261903139811	-0.843761521519839	-0.833248555885742	-0.082565141950375	-0.872973137079056	2	0.030686314855345	-0.351647697449418	0.017353928187696
SCNN1D	0.012833040847434	0.096317049744851	0.126242063830772	0.015538027988737	0.083423333226757	-0.122213566825964	0.313102955297387	0.225471188855086	0.377112834754926	0.02909222177768	0.184584776813855	0.018226944734176
